19/01/2023,OUT,500,1000
23/01/2023,IN,250,1250
02/02/2023,OUT,1200,50
03/02/2023,OUT,47,3
19-03-2023,IN,100,103
19-03-2023,OUT,100,3
19-03-2023,IN,20,23
19-03-2023,OUT,10,13
19-03-2023,OUT,10,3
19-03-2023,IN,100,103
19-03-2023,IN,100,203
19-03-2023,IN,100,303
19-03-2023,OUT,10,293
19-03-2023,OUT,100,193
19-03-2023,IN,100,293
19-03-2023,IN,100,393
19-03-2023,IN,50,443
20-03-2023,IN,10,13
20-03-2023,OUT,10,3
20-03-2023,IN,50,53
20-03-2023,OUT,20,33
20-03-2023,IN,10,43
20-03-2023,IN,500,503
20-03-2023,IN,20,23
20-03-2023,IN,100,103
20-03-2023,IN,100,103
